,index,Lat,Lngs,City,Country,Max Temp,Humidity,Clouds,Wind Speed
0,0,18.39,42.45,faya,td,69.8,43,0,11.41
1,1,-34.53,20.04,bredasdorp,za,53.6,76,12,1.12
2,2,69.49,88.39,talnakh,ru,31.98,100,0,15.03
3,3,24.164263692552765,98.29520770784768,banmo,mm,,,,
4,4,42.65,-73.75,albany,au,64.94,90,90,9.17
5,5,-38.31,-60.23,barrow,us,60.15,26,92,15.7
6,6,65.58,-170.99,lavrentiya,ru,45.93,91,92,21.97
7,7,-23.38,150.51,rockhampton,au,57.2,76,12,3.36
8,8,-34.42,19.24,hermanus,za,48.99,88,32,6.08
9,9,-42.88,147.33,hobart,au,51.8,81,75,5.82
10,10,-54.81,-68.31,ushuaia,ar,39.2,93,75,21.92
11,11,10.3,22.78,birao,cf,76.98,76,88,2.95
12,12,69.44,-133.03,tuktoyaktuk,ca,28.4,86,20,9.17
13,13,37.73,-25.67,ponta delgada,pt,68,88,20,14.99
14,14,19.71,-155.08,hilo,us,86,57,1,4.7
15,15,32.25,77.19,manali,in,5.07,95,0,1.61
16,16,-23.58,149.07,bluff,nz,58.53,76,0,8.21
17,17,-42.48,-73.76,castro,cl,46.92,81,88,7.65
18,18,-0.72,8.78,port-gentil,ga,75.2,94,20,2.24
19,19,-23.12,-134.97,rikitea,pf,68.43,100,100,19.06
20,20,-7.75,112.01,gondanglegi,id,69.42,91,36,3.51
21,21,50.7,-127.42,port hardy,ca,53.6,40,20,9.17
22,22,-14.943130735364008,-179.04515892297695,halalo,wf,,,,
23,23,44.02,1.35,montauban,fr,60.8,36,0,10.29
24,24,22.08,-159.32,kapaa,us,82.94,74,75,10.29
25,25,45.76,106.27,mandalgovi,mn,34.95,55,0,6.76
26,26,-9.8,-139.03,atuona,pf,78.69,100,32,9.44
27,27,-46.19,168.86,mataura,pf,44.67,89,0,4.29
28,28,58.61,5.65,varhaug,no,44.6,87,75,16.11
29,29,59.24241137416152,20.85269868253809,maarianhamina,fi,,,,
30,30,50.78,121.52,genhe,cn,25.14,73,0,2.84
31,32,60.91,34.16,podporozhye,ru,42.78,95,56,6.2
32,33,-53.16,-70.91,punta arenas,cl,41,80,75,23.04
33,34,38.18,-1.13,fortuna,us,68,64,0,2.24
34,35,-16.7,-151.02,fare,pf,75.09,100,76,27.67
35,36,10.24,-61.45,esperance,au,86,74,20,9.17
36,40,-39.04,177.43,wairoa,nz,56.28,87,36,4.52
37,41,-20.34,57.76,bambous virieux,mu,71.6,73,75,5.82
38,42,-14.9,50.28,antalaha,mg,69.33,87,80,9.22
39,43,29.14,21.3,awjilah,ly,80.85,29,76,10.89
40,44,82.77937653311383,2.2012049290184166,barentsburg,sj,,,,
41,46,-3.24,35.49,ngorongoro,tz,57.45,86,68,2.17
42,47,62.23,-6.59,klaksvik,fo,42.8,81,56,9.17
43,48,37.72,-25.43,vila franca do campo,pt,68,88,20,14.99
44,49,32.86,59.22,birjand,ir,59,24,0,4.7
45,50,40.58,-86.19,galveston,us,77.36,88,90,4.7
46,51,62.91,6.91,bud,no,42.8,86,75,2.24
47,52,-16.5,-68.19,el alto,pe,59,30,75,13.87
48,54,33.08,-16.33,camacha,pt,73.4,77,20,5.82
49,55,5.638164104996804,33.46342691647993,kapoeta,sd,,,,
50,56,55.74,-97.86,thompson,ca,42.8,41,75,16.11
51,57,-46.43,-67.52,mar del plata,ar,52.77,40,88,16.49
52,58,68.54,146.19,belaya gora,ru,27.93,90,76,4.97
53,62,12.97090456963295,98.77751851633263,mergui,mm,,,,
54,63,70.62,147.9,chokurdakh,ru,30.81,91,92,5.19
55,64,69.9652044398996,33.03076982550695,skalistyy,ru,,,,
56,67,35.62,-117.67,ridgecrest,us,86,36,75,13.87
57,69,5.33,116.16,keningau,my,77,94,75,9.17
58,71,12.52,-70.03,oranjestad,aw,86,74,20,18.34
59,72,0.600864665330306,172.84373099765378,tabiauea,ki,,,,
60,73,-23.78,-45.36,ilhabela,br,73.2,96,76,5.86
61,80,-47.25582853920247,41.96888968559563,umzimvubu,za,,,,
62,81,77.48,-69.36,qaanaaq,gl,25.59,99,44,11.01
63,82,-33.93,18.42,cape town,za,57.2,62,20,18.34
64,83,60.72,-46.03,qaqortoq,gl,35.6,55,75,1.12
65,84,14.29,120.72,ternate,id,77,100,75,4.52
66,85,27.21,60.69,iranshahr,ir,77,11,0,4.7
67,86,47.66,-52.73,torbay,ca,44.6,70,20,6.93
68,87,52.516911901359975,-86.4699374816721,longlac,ca,,,,
69,88,-2.54,112.95,sampit,id,75.81,88,76,5.86
70,90,32.862136692571866,158.02750738361408,sentyabrskiy,ru,,,,
71,91,14.45,-0.24,gorom-gorom,bf,82.92,61,64,4.41
72,92,-22.29,44.51,ankazoabo,mg,61.23,71,0,2.95
73,93,15.34,74.49,vaini,to,71.22,100,76,1.61
74,94,-30.17,-50.22,cidreira,br,61.68,100,92,11.68
75,96,-33.69,-53.46,chuy,uy,55.92,82,44,6.64
76,98,45.29148415506532,120.12732486605245,wulanhaote,cn,,,,
77,100,42.07,47.22,vachi,ru,45.21,79,0,2.95
78,101,34.25,-110.03,show low,us,71.96,64,40,20.8
79,102,49.83,35.6,valky,ua,55.4,87,90,2.24
80,103,43.97,-111.68,saint anthony,ca,75.02,26,1,20.8
81,104,-30.97,22.13,carnarvon,au,46.47,60,0,16.6
82,105,60.91,-46.05,narsaq,gl,35.6,55,75,1.12
83,107,35.73,140.83,hasaki,jp,64.4,100,75,2.24
84,108,-33.59,26.89,port alfred,za,59.7,100,92,22.53
85,109,59.7,30.79,nikolskoye,ru,44.6,87,40,4.47
86,111,22.605549359917205,-72.17475870481961,cockburn harbour,tc,,,,
87,112,23.99,-104.67,constitucion,cl,77,36,20,4.41
88,113,34.06,-117.19,redlands,us,89.96,39,90,5.82
89,117,-18.44274297173193,-79.94007818804867,marcona,pe,,,,
90,119,1.7599015007732675,-161.0153334423393,samusu,ws,,,,
91,120,-9.65,120.26,waingapu,id,69.06,92,0,8.1
92,122,71.8515198196497,-179.41419571457234,mys shmidta,ru,,,,
93,123,-25.24,130.99,yulara,au,68,56,64,6.93
94,124,53.05,158.65,petropavlovsk-kamchatskiy,ru,41,80,12,8.95
95,126,6.51,-72.59,macaravita,co,58.08,86,92,0.72
96,127,-46.60514030316395,54.65199418632909,taolanaro,mg,,,,
97,128,73.71915989521082,133.24731698809677,nizhneyansk,ru,,,,
98,131,52.47,1.45,broome,au,57.2,62,0,11.41
99,132,50.33,26.52,ostroh,ua,50.34,83,88,7.99
100,133,37.17,-99.65,sitka,us,87.42,42,8,19.51
101,135,15.79,120.99,san jose,gt,71.04,100,56,1.95
102,138,19.77,-89.85,hopelchen,mx,84.2,74,40,3.74
103,139,-33.64,115.35,busselton,au,53.58,100,8,20.18
104,141,-19.93,-60.77,mayor pablo lagerenza,py,76.35,69,0,4.63
105,143,11.74,-2.93,boromo,bf,79.5,77,0,2.51
106,144,46.37,-82.65,elliot lake,ca,53.6,71,20,5.82
107,145,39.95,-94.76,kodiak,us,86,55,75,10.29
108,146,66.15,-65.72,pangnirtung,ca,26.6,68,20,3.36
109,147,-25.41,-70.49,taltal,cl,70.5,66,0,3.62
110,149,-6.325129876571225,175.4599318537238,lolua,tv,,,,
111,152,-13.71,-76.2,pisco,pe,71.6,30,0,8.05
112,153,6.19,-67.49,puerto carreno,co,89.6,59,20,2.95
113,154,69.3,139.9,deputatskiy,ru,25.68,89,88,11.12
114,155,17.54,120.52,san quintin,mx,77,78,20,4.7
115,156,89.0618106726644,-8.834063742471528,illoqqortoormiut,gl,,,,
116,157,-17.73,-149.15,tautira,pf,80.6,57,40,12.75
117,158,28.97,50.84,bushehr,ir,87.8,62,0,4.7
118,162,43.32,145.57,nemuro,jp,61.05,95,20,14.03
119,164,-10.16,123.6,kupang,id,76.8,94,8,11.79
